insert;seq;offset;largura;coluna;ref_notice;formato;nome_notice;ancora_spool;confianca;oraculo;exemplos;expressao_spool
1;1;0;8;P1_H_0_1;0.1 (P1);DATE;Date d'arrêté;;MEDIA;ok;20250630;to_char(C_ENR.dt_arrete, 'YYYYMMDD')
1;2;8;5;P1_H_0_2;0.2 (P1);ALPHA;Entité Porteuse de Risques;;MEDIA;ok;00357 / 00370;RPAD(NVL(C_ENR.CD_CONSO_CPT,' '), 5)
1;3;13;12;P1_H_0_3;0.3 (P1);ALPHA;Application source;;MEDIA;ok;C_BTR       ;RPAD(NVL(C_ENR.APPLI_SOURCE,'C_BTR'), 12)
1;4;25;1;P1_H_0_4;0.4 (P1);ALPHA;Fréquence de transmission;;MEDIA;ok;M;'M'
1;5;26;12;P1_H_0_5;0.5 (P1);ALPHA;Date et Heure de traitement;;MEDIA;ok;202608241214;:MASYSDATE
1;6;38;2;P1_H_0_6;0.6 (P1);ALPHA;Type d'enregistrement;;MEDIA;ok;P1;'P1'
1;;40;10;P1_H_0_7;0.7 (P1);ALPHA;Nature de flux (Zone réservée DRG);;FILLER;vazio;;RPAD(' ', 10)
1;7;50;20;P1_H_1_1;1.1 (P1);ALPHA;Identifiant local du tiers en risque;;MEDIA;ok;EN1001720            / EN100438            ;RPAD(NVL(C_ENR.ID_TIERS_CALC, ' '), 20)
1;;70;10;P1_H_1_2;1.2 (P1);ALPHA;Identifiant central du tiers en risque;;FILLER;vazio;;RPAD(' ', 10)
1;8;80;30;P1_H_1_4;1.4 (P1);ALPHA;Référence de l'Autorisation Mise En Place;;MEDIA;ok;F1-*0019                       / F1200622-M0                   ;RPAD(NVL(C_ENR.ID_AUTORISATION, ' '), 30)
1;9;110;30;P1_H_1_6;1.6 (P1);ALPHA;Référence de la ligne de détail de l'Autorisa;;MEDIA;ok;F2-*0019                       / F2200622-M0                   ;RPAD(NVL(C_ENR.ID_LIGNE_DET, ' '), 30)
1;;140;40;P1_H_1_8;1.8 (P1);ALPHA;Identifiant de la sûreté reçue;;FILLER;vazio;;RPAD(' ', 40)
1;10;180;40;P1_H_1_11;1.11 (P1);ALPHA;Identifiant de l'engagement;;MEDIA;ok;200622VM0_C                              / 202878FN0_C                             ;RPAD(C_ENR.ID_ENGAGEMENT || '_C',40)
1;;220;40;P1_H_1_16;1.16 (P1);ALPHA;Référence de la provision sur tiers;;FILLER;vazio;;RPAD(' ', 40)
1;;260;20;P1_H_1_99;1.99 (P1);ALPHA;Filler;;FILLER;vazio;;RPAD(' ', 20)
1;11;280;7;P1_1_1;P1 1.1;ALPHA;Méthodologie Bâloise;;MEDIA;ok;STD    ;RPAD(NVL(C_ENR.CD_METHODO_BALE2, 'STD'),7)
1;12;287;2;P1_1_2;P1 1.2;ALPHA;Traitement moteur bâlois;;MEDIA;ok;07;RPAD(NVL(C_ENR.CODE_TRAIT_MOTEUR, '01'),2)
1;13;289;1;P1_4_34;P1 4.34;ALPHA;Traitement GRR;;MEDIA;ok;Y;'Y'
1;14;290;6;P1_2_0;P1 2.0;ALPHA;Type de risque;;MEDIA;ok;TRE401 / TRE501;RPAD(C_ENR.CD_TYPE_RISQUE,6)
1;15;296;1;P1_2_4;P1 2.4;ALPHA;Portefeuille de booking Intention de Gestion;;MEDIA;ok;B;NVL(C_ENR.CD_PORTEFEUILLE_BOOKING,'B')
1;16;297;5;P1_2_6;P1 2.6;ALPHA;Ligne Métier;;MEDIA;ok;MLE00;RPAD(C_ENR.CD_LIGNE_METIER,5)
1;17;302;3;P1_2_18;P1 2.18;ALPHA;Portefeuille Bâle Opération;P1 2.18;ALTA;ok;061 / 900;RPAD(C_ENR.CD_PORTEFEUILLE_BALE2,3)
1;18;305;12;P1_2_29;P1 2.29;ALPHA;NATure d'Opération de l'engagement;;MEDIA;ok;NA011        / NA021       ;RPAD(nvl(C_ENR.CD_NATURE_OPE, 'NA020'),12)
1;19;317;8;P1_3_2;P1 3.2;DATE;Date de début de l'engagement;;MEDIA;ok;20081203 / 20120130;RPAD(NVL(TO_CHAR(C_ENR.DT_DEBUT_ENG, 'YYYYMMDD'), ' '), 8)
1;20;325;8;P1_3_4;P1 3.4;DATE;Date de fin de l'engagement;;MEDIA;ok;20250630 / 20250714;NVL(TO_CHAR(C_ENR.DT_FIN_ENG, 'YYYYMMDD'),'99990630')
1;;333;10;P1_16_6;P1 16.6;NUM;Pondération Bâloise de l'engagement (%);;FILLER;vazio;;RPAD(' ', 10)
1;21;343;10;P1_18_1;P1 18.1;NUM;Loss Given Default (LGD);;MEDIA;ok;+000000000;pack_utilitaire.F_FORMAT_TAUX(C_ENR.TX_LGD_PREDICTIF_LOCAL)
1;22;353;10;P1_18_10;P1 18.10;NUM;Crédit Conversion Factor (CCF);;MEDIA;ok;+000000000;pack_utilitaire.F_FORMAT_TAUX(C_ENR.TX_TRC)
1;23;363;19;P1_18_5;P1 18.5;NUM;Montant de l'Exposition en cas de Défaut (EAD;;MEDIA;ok;+000000000000000000;pack_utilitaire.f_format_montant_bis2(CASE WHEN nvl((C_ENR.MNT_EAD_TOT
1;24;382;3;P1_18_17;P1 18.17;ALPHA;Devise du montant de l'Exposition en cas de D;;MEDIA;ok;EUR;RPAD(NVL(C_ENR.CD_DEVISE_MNT_RISQ, ' '), 3)
1;25;385;3;P1_18_18;P1 18.18;ALPHA;Devise d'origine du contrat;;MEDIA;ok;EUR;RPAD(NVL(C_ENR.CD_DEVISE_MNT_RISQ, ' '), 3)
